Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Team,Player Name,Image URL
14,10,3,21,7*,3.00,25,84.00,0,0,2,1,KKR,Sunil Narine,https://scores.iplt20.com/ipl/playerimages/Sunil Narine.png
6,3,1,20,19,10.00,12,166.66,0,0,1,1,PBKS,Rishi Dhawan,https://scores.iplt20.com/ipl/playerimages/Rishi Dhawan.png
15,7,4,20,5,6.67,27,74.07,0,0,1,0,LSG,Ravi Bishnoi,https://scores.iplt20.com/ipl/playerimages/Ravi Bishnoi.png
8,2,1,19,19*,19.00,8,237.50,0,0,1,2,SRH,Umran Malik,https://scores.iplt20.com/ipl/playerimages/Umran Malik.png
8,5,3,19,6*,9.50,18,105.55,0,0,1,0,KKR,Umesh Yadav,https://scores.iplt20.com/ipl/playerimages/Umesh Yadav.png
7,1,0,19,19,19.00,30,63.33,0,0,2,0,LSG,Amit Mishra,https://scores.iplt20.com/ipl/playerimages/Amit Mishra.png
6,3,1,18,15*,9.00,15,120.00,0,0,0,1,MI,Arshad Khan,https://scores.iplt20.com/ipl/playerimages/Arshad Khan.png
2,1,0,17,17,17.00,8,212.50,0,0,2,1,RCB,Akash Deep,https://scores.iplt20.com/ipl/playerimages/Akash Deep.png
1,1,1,16,16*,-,10,160.00,0,0,1,1,SRH,Akeal Hosein,https://scores.iplt20.com/ipl/playerimages/Akeal Hosein.png
10,4,3,16,15,16.00,14,114.28,0,0,1,1,RR,Trent Boult,https://scores.iplt20.com/ipl/playerimages/Trent Boult.png
1,1,0,16,16,16.00,20,80.00,0,0,2,0,DC,Praveen Dubey,https://scores.iplt20.com/ipl/playerimages/Praveen Dubey.png
8,3,2,16,13,16.00,21,76.19,0,0,2,0,LSG,Naveen-ul-Haq,https://scores.iplt20.com/ipl/playerimages/Naveen-ul-Haq.png
4,3,0,16,13,5.33,23,69.56,0,0,1,0,DC,Yash Dhull,https://scores.iplt20.com/ipl/playerimages/Yash Dhull.png
2,2,0,15,8,7.50,14,107.14,0,0,2,0,CSK,Ben Stokes,https://scores.iplt20.com/ipl/playerimages/Ben Stokes.png
3,3,0,14,12,4.67,16,87.50,0,0,0,1,KKR,Mandeep Singh,https://scores.iplt20.com/ipl/playerimages/Mandeep Singh.png
4,1,0,13,13,13.00,9,144.44,0,0,0,1,MI,Arjun Tendulkar,https://scores.iplt20.com/ipl/playerimages/Arjun Tendulkar.png
7,2,1,13,13*,13.00,9,144.44,0,0,0,1,RCB,Vyshak Vijaykumar,https://scores.iplt20.com/ipl/images/default-player-statsImage.png
2,1,1,12,12*,-,10,120.00,0,0,1,0,RCB,Kedar Jadhav,https://scores.iplt20.com/ipl/images/default-player-statsImage.png
8,3,1,12,11,6.00,11,109.09,0,0,0,1,RR,Jason Holder,https://scores.iplt20.com/ipl/playerimages/Jason Holder.png
